image_id,rover,camera,sol,rock_coverage_pct,coverage_total_pct,frac_valid,n_bigrock,n_rocks,n_raw_components,quality_flag
NLA_397681917EDR_F0020000AUT_04096M1,MSL,navcam,,0.0,0.0,0.7849,0,0,0,no_rock
NLA_397681941EDR_F0020000AUT_04096M1,MSL,navcam,,0.0,0.0,0.7131,0,0,0,no_rock
NLA_397681967EDR_F0020000AUT_04096M1,MSL,navcam,,0.0,0.0,0.7623,0,0,0,no_rock
NLA_397681999EDR_F0020000AUT_04096M1,MSL,navcam,,0.0,0.0,0.6667,0,0,0,no_rock
NLA_397682034EDR_F0020000AUT_04096M1,MSL,navcam,,0.0,0.0,0.1893,0,0,0,no_rock
NLA_397682119EDR_F0020000AUT_04096M1,MSL,navcam,,0.0,0.0,0.0007,0,0,0,mostly_null
NLA_397682152EDR_F0020000AUT_04096M1,MSL,navcam,,0.0,0.0,0.0129,0,0,0,mostly_null
NLA_397682189EDR_F0020000AUT_04096M1,MSL,navcam,,0.0,0.0,0.0505,0,0,0,no_rock
NLA_397682285EDR_F0020000AUT_04096M1,MSL,navcam,,0.0,0.0,0.0033,0,0,0,mostly_null
NLA_397682316EDR_F0020000AUT_04096M1,MSL,navcam,,0.0,0.0,0.0162,0,0,0,mostly_null
NLA_397682347EDR_F0020000AUT_04096M1,MSL,navcam,,,0.0,0.0,0,0,0,empty
NLA_397682394EDR_F0020000AUT_04096M1,MSL,navcam,,0.0,0.0,0.0879,0,0,0,no_rock
NLA_397682428EDR_F0020000AUT_04096M1,MSL,navcam,,,0.0,0.0,0,0,0,empty
NLA_397682534EDR_F0020000AUT_04096M1,MSL,navcam,,0.0,0.0,0.2046,0,0,0,no_rock
NLA_398380694EDR_F0030000NCAM15000M1,MSL,navcam,,0.0,0.0,0.0133,0,0,0,mostly_null
NLA_398381736EDR_F0030000NCAM15000M1,MSL,navcam,,0.0,0.0,0.0166,0,0,0,mostly_null
NLA_398561160EDR_F0030004NCAM15000M1,MSL,navcam,,0.0,0.0,0.8959,0,0,0,no_rock
NLA_398561738EDR_F0030004NCAM00400M1,MSL,navcam,,0.0,0.0,0.0595,0,0,0,no_rock
NLA_398561766EDR_F0030004NCAM00400M1,MSL,navcam,,0.0,0.0,0.096,0,0,0,no_rock
NLA_398561794EDR_F0030004NCAM00400M1,MSL,navcam,,0.0,0.0,0.1284,0,0,0,no_rock
NLA_398561822EDR_F0030004NCAM00400M1,MSL,navcam,,0.0,0.0,0.1949,0,0,0,no_rock
NLA_398645812EDR_F0030004NCAM15000M1,MSL,navcam,,0.0,0.0,0.8648,0,0,0,no_rock
NLA_398646382EDR_F0030004NCAM15000M1,MSL,navcam,,0.0,0.0,0.6516,0,0,0,no_rock
NLA_398646643EDR_F0030004NCAM15000M1,MSL,navcam,,0.0,0.0,0.4875,0,0,0,no_rock
NLA_398646918EDR_F0030004NCAM15000M1,MSL,navcam,,0.0,0.0,0.5042,0,0,0,no_rock
NLA_398742207EDR_F0030004NCAM00105M1,MSL,navcam,,0.0,0.0,0.2233,0,0,0,no_rock
NLA_398742240EDR_F0030004NCAM00105M1,MSL,navcam,,0.0,0.0,0.5136,0,0,0,no_rock
NLA_398742273EDR_F0030004NCAM00105M1,MSL,navcam,,0.0,0.0,0.4755,0,0,0,no_rock
NLA_398919509EDR_F0030078NCAM00300M1,MSL,navcam,,0.0,0.0,0.8486,0,0,0,no_rock
NLA_398919544EDR_F0030078NCAM00300M1,MSL,navcam,,0.0,0.0,0.8175,0,0,0,no_rock
NLA_398919572EDR_F0030078NCAM00300M1,MSL,navcam,,0.0,0.0,0.7777,0,0,0,no_rock
NLA_398919607EDR_F0030078NCAM00300M1,MSL,navcam,,0.0,0.0,0.7294,0,0,0,no_rock
NLA_398919642EDR_F0030078NCAM00300M1,MSL,navcam,,0.0054,0.0037,0.6831,39,0,1,ok
NLA_398919692EDR_F0030078NCAM00301M1,MSL,navcam,,0.0,0.0,0.7735,0,0,0,no_rock
NLA_398919728EDR_F0030078NCAM00301M1,MSL,navcam,,0.0,0.0,0.7968,0,0,0,no_rock
NLA_398919757EDR_F0030078NCAM00301M1,MSL,navcam,,0.0,0.0,0.8575,0,0,0,no_rock
NLA_398919784EDR_F0030078NCAM00301M1,MSL,navcam,,0.0,0.0,0.9414,0,0,0,no_rock
NLA_398919819EDR_F0030078NCAM00301M1,MSL,navcam,,0.0,0.0,0.8182,0,0,0,no_rock
NLA_398919855EDR_F0030078NCAM00303M1,MSL,navcam,,0.0,0.0,0.6362,0,0,0,no_rock
NLA_398919948EDR_F0030078NCAM00303M1,MSL,navcam,,0.0,0.0,0.2758,0,0,0,no_rock
NLA_398919983EDR_F0030078NCAM00303M1,MSL,navcam,,0.0,0.0,0.2169,0,0,0,no_rock
NLA_398920017EDR_F0030078NCAM00303M1,MSL,navcam,,0.0,0.0,0.5101,0,0,0,no_rock
NLA_398920052EDR_F0030078NCAM00303M1,MSL,navcam,,0.0,0.0,0.517,0,0,0,no_rock
NLA_398920087EDR_F0030078NCAM00303M1,MSL,navcam,,0.0,0.0,0.5435,0,0,0,no_rock
NLA_398920122EDR_F0030078NCAM00303M1,MSL,navcam,,0.0,0.0,0.8256,0,0,0,no_rock
NLA_398920191EDR_F0030078NCAM00304M1,MSL,navcam,,0.0,0.0,0.5277,0,0,0,no_rock
NLA_398920279EDR_F0030078NCAM00304M1,MSL,navcam,,0.0,0.0,0.119,0,0,0,no_rock
NLA_398920346EDR_F0030078NCAM00304M1,MSL,navcam,,0.0,0.0,0.0938,0,0,0,no_rock
NLA_398920382EDR_F0030078NCAM00304M1,MSL,navcam,,0.0,0.0,0.0845,0,0,0,no_rock
NLA_398920416EDR_F0030078NCAM00304M1,MSL,navcam,,0.0,0.0,0.1102,0,0,0,no_rock
NLA_398920451EDR_F0030078NCAM00304M1,MSL,navcam,,0.0,0.0,0.5222,0,0,0,no_rock
NLA_398920488EDR_F0030078NCAM00302M1,MSL,navcam,,0.0,0.0,0.047,0,0,0,mostly_null
NLA_398920523EDR_F0030078NCAM00302M1,MSL,navcam,,0.0,0.0,0.3916,0,0,0,no_rock
NLA_398920558EDR_F0030078NCAM00302M1,MSL,navcam,,0.0,0.0,0.7172,0,0,0,no_rock
NLA_399014158EDR_F0030078NCAM00402M1,MSL,navcam,,0.0,0.0,0.0658,0,0,0,no_rock
NLA_399014186EDR_F0030078NCAM00402M1,MSL,navcam,,0.0,0.0,0.0895,0,0,0,no_rock
NLA_399014214EDR_F0030078NCAM00402M1,MSL,navcam,,0.0,0.0,0.13,0,0,0,no_rock
NLA_399014249EDR_F0030078NCAM00402M1,MSL,navcam,,0.0,0.0,0.1915,0,0,0,no_rock
NLA_399365141EDR_F0030100NCAM00305M1,MSL,navcam,,0.0,0.0,0.3613,0,0,0,no_rock
NLA_399365176EDR_F0030100NCAM00305M1,MSL,navcam,,0.0,0.0,0.5627,0,0,0,no_rock
NLA_399365204EDR_F0030100NCAM00305M1,MSL,navcam,,0.0,0.0,0.4402,0,0,0,no_rock
NLA_399365236EDR_F0030100NCAM00403M1,MSL,navcam,,0.0,0.0,0.5021,0,0,0,no_rock
NLA_399365272EDR_F0030100NCAM00403M1,MSL,navcam,,0.0,0.0,0.8993,0,0,0,no_rock
NLA_399365300EDR_F0030100NCAM00403M1,MSL,navcam,,0.0,0.0,0.9665,0,0,0,no_rock
NLA_399449733EDR_F0030106NCAM00411M1,MSL,navcam,,0.0,0.0,0.6904,0,0,0,no_rock
NLA_399455489EDR_F0030260NCAM00412M1,MSL,navcam,,0.0,0.0,0.6579,0,0,0,no_rock
NLA_399455517EDR_F0030260NCAM00412M1,MSL,navcam,,0.0,0.0,0.6778,0,0,0,no_rock
NLA_399455545EDR_F0030260NCAM00412M1,MSL,navcam,,0.0,0.0,0.7036,0,0,0,no_rock
NLA_399455573EDR_F0030260NCAM00412M1,MSL,navcam,,0.0,0.0,0.743,0,0,0,no_rock
NLA_399455608EDR_F0030260NCAM00412M1,MSL,navcam,,0.0,0.0,0.7522,0,0,0,no_rock
NLA_399455647EDR_F0030260NCAM00413M1,MSL,navcam,,0.0,0.0,0.895,0,0,0,no_rock
NLA_399455675EDR_F0030260NCAM00413M1,MSL,navcam,,0.0,0.0,0.8776,0,0,0,no_rock
NLA_399455704EDR_F0030260NCAM00413M1,MSL,navcam,,0.0,0.0,0.9115,0,0,0,no_rock
NLA_399455732EDR_F0030260NCAM00413M1,MSL,navcam,,0.0,0.0,0.8665,0,0,0,no_rock
NLA_399455767EDR_F0030260NCAM00413M1,MSL,navcam,,0.0,0.0,0.6156,0,0,0,no_rock
NLA_399455803EDR_F0030260NCAM00410M1,MSL,navcam,,0.0,0.0,0.8083,0,0,0,no_rock
NLA_399455839EDR_F0030260NCAM00410M1,MSL,navcam,,0.0,0.0,0.8253,0,0,0,no_rock
NLA_399455874EDR_F0030260NCAM00410M1,MSL,navcam,,0.0,0.0,0.4893,0,0,0,no_rock
NLA_399455961EDR_F0030260NCAM00410M1,MSL,navcam,,,0.0,0.0,0,0,0,empty
NLA_399455989EDR_F0030260NCAM00410M1,MSL,navcam,,0.0,0.0,0.2976,0,0,0,no_rock
NLA_399456024EDR_F0030260NCAM00410M1,MSL,navcam,,0.0,0.0,0.5119,0,0,0,no_rock
NLA_399456059EDR_F0030260NCAM00410M1,MSL,navcam,,0.0,0.0,0.4728,0,0,0,no_rock
NLA_399621413EDR_F0030308NCAM00405M1,MSL,navcam,,0.0,0.0,0.8103,0,0,0,no_rock
NLA_399621461EDR_F0030308NCAM00404M1,MSL,navcam,,0.0,0.0,0.9437,0,0,0,no_rock
NLA_399622593EDR_F0030350NCAM00404M1,MSL,navcam,,0.0,0.0,0.9748,0,0,0,no_rock
NLA_399627511EDR_F0030372NCAM00407M1,MSL,navcam,,0.0,0.0,0.4642,0,0,0,no_rock
NLA_399627538EDR_F0030372NCAM00407M1,MSL,navcam,,0.0,0.0,0.6935,0,0,0,no_rock
NLA_399627567EDR_F0030372NCAM00407M1,MSL,navcam,,0.0,0.0,0.738,0,0,0,no_rock
NLA_399627595EDR_F0030372NCAM00407M1,MSL,navcam,,0.0,0.0,0.7483,0,0,0,no_rock
NLA_399627623EDR_F0030372NCAM00407M1,MSL,navcam,,0.0,0.0,0.769,0,0,0,no_rock
NLA_399627657EDR_F0030372NCAM00406M1,MSL,navcam,,0.0,0.0,0.8101,0,0,0,no_rock
NLA_399627692EDR_F0030372NCAM00406M1,MSL,navcam,,0.0,0.0,0.8262,0,0,0,no_rock
NLA_399627727EDR_F0030372NCAM00406M1,MSL,navcam,,0.0,0.0,0.7422,0,0,0,no_rock
NLA_399627814EDR_F0030372NCAM00406M1,MSL,navcam,,0.0,0.0,0.3542,0,0,0,no_rock
NLA_399627849EDR_F0030372NCAM00406M1,MSL,navcam,,0.0,0.0,0.0964,0,0,0,no_rock
NLA_399627884EDR_F0030372NCAM00406M1,MSL,navcam,,0.0,0.0,0.3273,0,0,0,no_rock
NLA_399627919EDR_F0030372NCAM00406M1,MSL,navcam,,0.0,0.0,0.4183,0,0,0,no_rock
NLA_399803342EDR_F0030496NCAM00416M1,MSL,navcam,,0.0,0.0,0.832,0,0,0,no_rock
NLA_399807081EDR_F0030530NCAM00414M1,MSL,navcam,,0.0,0.0,0.4833,0,0,0,no_rock
NLA_399807115EDR_F0030530NCAM00414M1,MSL,navcam,,0.0,0.0,0.6406,0,0,0,no_rock
NLA_399807144EDR_F0030530NCAM00414M1,MSL,navcam,,0.0,0.0,0.7048,0,0,0,no_rock
NLA_399807171EDR_F0030530NCAM00414M1,MSL,navcam,,0.0,0.0,0.6917,0,0,0,no_rock
NLA_399807200EDR_F0030530NCAM00414M1,MSL,navcam,,0.0,0.0,0.6945,0,0,0,no_rock
NLA_399807228EDR_F0030530NCAM00414M1,MSL,navcam,,0.0,0.0,0.7373,0,0,0,no_rock
NLA_399807263EDR_F0030530NCAM00414M1,MSL,navcam,,0.0,0.0,0.764,0,0,0,no_rock
NLA_399807291EDR_F0030530NCAM00414M1,MSL,navcam,,0.0,0.0,0.7718,0,0,0,no_rock
NLA_399807333EDR_F0030530NCAM00414M1,MSL,navcam,,0.0,0.0,0.5135,0,0,0,no_rock
NLA_399807408EDR_F0030530NCAM00417M1,MSL,navcam,,0.0,0.0,0.5648,0,0,0,no_rock
NLA_399807459EDR_F0030530NCAM00415M1,MSL,navcam,,0.0,0.0,0.9128,0,0,0,no_rock
NLA_399807487EDR_F0030530NCAM00415M1,MSL,navcam,,0.0,0.0,0.8905,0,0,0,no_rock
NLA_399807515EDR_F0030530NCAM00415M1,MSL,navcam,,0.0,0.0,0.9494,0,0,0,no_rock
NLA_400066545EDR_F0030872NCAM00302M1,MSL,navcam,,,0.0,0.0,0,0,0,empty
NLA_400066580EDR_F0030872NCAM00302M1,MSL,navcam,,0.0,0.0,0.3906,0,0,0,no_rock
NLA_400066615EDR_F0030872NCAM00302M1,MSL,navcam,,0.0,0.0,0.7206,0,0,0,no_rock
NLA_400070989EDR_F0040000NCAM00408M1,MSL,navcam,,0.0,0.0,0.7634,0,0,0,no_rock
NLA_400071025EDR_F0040000NCAM00408M1,MSL,navcam,,0.0,0.0,0.8232,0,0,0,no_rock
NLA_400071053EDR_F0040000NCAM00408M1,MSL,navcam,,0.0,0.0,0.8609,0,0,0,no_rock
NLA_400071081EDR_F0040000NCAM00408M1,MSL,navcam,,0.0,0.0,0.9167,0,0,0,no_rock
NLA_400071109EDR_F0040000NCAM00408M1,MSL,navcam,,0.0,0.0,0.8412,0,0,0,no_rock
NLA_400071177EDR_F0040000NCAM00302M1,MSL,navcam,,0.0,0.0,0.0447,0,0,0,mostly_null
NLA_400071212EDR_F0040000NCAM00302M1,MSL,navcam,,0.0,0.0,0.3873,0,0,0,no_rock
NLA_400071247EDR_F0040000NCAM00302M1,MSL,navcam,,0.0,0.0,0.7177,0,0,0,no_rock
NLA_400071303EDR_F0040000NCAM00409M1,MSL,navcam,,0.0,0.0,0.6733,0,0,0,no_rock
NLA_400071397EDR_F0040000NCAM00409M1,MSL,navcam,,0.0,0.0,0.3915,0,0,0,no_rock
NLA_400071431EDR_F0040000NCAM00409M1,MSL,navcam,,0.0,0.0,0.1507,0,0,0,no_rock
NLA_400071465EDR_F0040000NCAM00409M1,MSL,navcam,,0.0,0.0,0.3952,0,0,0,no_rock
NLA_400071499EDR_F0040000NCAM00409M1,MSL,navcam,,0.0,0.0,0.5965,0,0,0,no_rock
NLA_400071534EDR_F0040000NCAM00419M1,MSL,navcam,,0.0,0.0,0.5097,0,0,0,no_rock
NLA_400071562EDR_F0040000NCAM00419M1,MSL,navcam,,0.0,0.0,0.7265,0,0,0,no_rock
NLA_400071597EDR_F0040000NCAM00419M1,MSL,navcam,,0.0,0.0,0.8097,0,0,0,no_rock
NLA_400071632EDR_F0040000NCAM00419M1,MSL,navcam,,0.0,0.0,0.814,0,0,0,no_rock
NLA_400071660EDR_F0040000NCAM00419M1,MSL,navcam,,0.0,0.0,0.7821,0,0,0,no_rock
NLA_400071695EDR_F0040000NCAM00419M1,MSL,navcam,,0.0,0.0,0.768,0,0,0,no_rock
NLA_400071730EDR_F0040000NCAM00419M1,MSL,navcam,,0.0,0.0,0.7429,0,0,0,no_rock
NLA_400071772EDR_F0040000NCAM00418M1,MSL,navcam,,0.0,0.0,0.5762,0,0,0,no_rock
NLA_400071866EDR_F0040000NCAM00418M1,MSL,navcam,,0.0,0.0,0.2223,0,0,0,no_rock
NLA_400071934EDR_F0040000NCAM00418M1,MSL,navcam,,0.0,0.0,0.0605,0,0,0,no_rock
NLA_400071968EDR_F0040000NCAM00418M1,MSL,navcam,,0.0,0.0,0.1256,0,0,0,no_rock
NLA_400072002EDR_F0040000NCAM00418M1,MSL,navcam,,0.0,0.0,0.0155,0,0,0,mostly_null
NLA_400072037EDR_F0040000NCAM00418M1,MSL,navcam,,0.0,0.0,0.4248,0,0,0,no_rock
NLA_400163559EDR_F0040000NCAM00105M1,MSL,navcam,,0.0,0.0,0.5745,0,0,0,no_rock
NLA_400163590EDR_F0040000NCAM00105M1,MSL,navcam,,0.0,0.0,0.4923,0,0,0,no_rock
NLA_400165599EDR_F0040000NCAM00106M1,MSL,navcam,,0.0,0.0,0.2282,0,0,0,no_rock
NLA_400165633EDR_F0040000NCAM00106M1,MSL,navcam,,0.0,0.0,0.5265,0,0,0,no_rock
NLA_400335692EDR_F0040000NCAM00107M1,MSL,navcam,,0.0,0.0,0.4433,0,0,0,no_rock
NLA_400336719EDR_F0040000NCAM00107M1,MSL,navcam,,0.0,0.0,0.4106,0,0,0,no_rock
NLA_400336838EDR_F0040000NCAM00107M1,MSL,navcam,,0.0,0.0,0.4478,0,0,0,no_rock
NLA_400337922EDR_F0040000NCAM00107M1,MSL,navcam,,0.0,0.0,0.4798,0,0,0,no_rock
NLA_400338463EDR_F0040000NCAM00107M1,MSL,navcam,,0.0,0.0,0.4732,0,0,0,no_rock
NLA_400686469EDR_F0040000NCAM00420M1,MSL,navcam,,0.0,0.0,0.8568,0,0,0,no_rock
NLA_400686490EDR_F0040000NCAM00420M1,MSL,navcam,,0.0,0.0,0.8581,0,0,0,no_rock
NLA_400686503EDR_F0040000NCAM00420M1,MSL,navcam,,0.0,0.0,0.8365,0,0,0,no_rock
NLA_400695985EDR_F0040000NCAM00110M1,MSL,navcam,,0.0,0.0,0.1559,0,0,0,no_rock
NLA_400696022EDR_F0040000NCAM00110M1,MSL,navcam,,0.0,0.0,0.1246,0,0,0,no_rock
NLA_400696360EDR_F0040000NCAM00110M1,MSL,navcam,,0.0,0.0,0.153,0,0,0,no_rock
NLA_400696436EDR_F0040000NCAM00111M1,MSL,navcam,,0.0,0.0,0.0662,0,0,0,no_rock
NLA_400696493EDR_F0040000NCAM00111M1,MSL,navcam,,0.0,0.0,0.0693,0,0,0,no_rock
NLA_400871482EDR_F0040404NCAM00409M1,MSL,navcam,,0.0,0.0,0.4998,0,0,0,no_rock
NLA_400871510EDR_F0040404NCAM00409M1,MSL,navcam,,0.0,0.0,0.7122,0,0,0,no_rock
NLA_400871538EDR_F0040404NCAM00409M1,MSL,navcam,,0.0,0.0,0.7498,0,0,0,no_rock
NLA_400871566EDR_F0040404NCAM00409M1,MSL,navcam,,6.9192,4.6498,0.672,0,0,0,no_bigrock
NLA_400871594EDR_F0040404NCAM00409M1,MSL,navcam,,0.0,0.0,0.7761,0,0,0,no_rock
NLA_400871629EDR_F0040404NCAM00421M1,MSL,navcam,,0.0,0.0,0.757,0,0,0,no_rock
NLA_400871664EDR_F0040404NCAM00421M1,MSL,navcam,,0.0,0.0,0.8097,0,0,0,no_rock
NLA_400871699EDR_F0040404NCAM00421M1,MSL,navcam,,0.0,0.0,0.7981,0,0,0,no_rock
NLA_400871733EDR_F0040404NCAM00421M1,MSL,navcam,,0.0,0.0,0.4748,0,0,0,no_rock
NLA_400871821EDR_F0040404NCAM00421M1,MSL,navcam,,0.0,0.0,0.2073,0,0,0,no_rock
NLA_400871855EDR_F0040404NCAM00421M1,MSL,navcam,,0.0,0.0,0.4097,0,0,0,no_rock
NLA_400871890EDR_F0040404NCAM00421M1,MSL,navcam,,0.0,0.0,0.5932,0,0,0,no_rock
NLA_400958632EDR_F0040468NCAM00422M1,MSL,navcam,,0.0,0.0,0.5586,0,0,0,no_rock
NLA_400958669EDR_F0040468NCAM00422M1,MSL,navcam,,0.0,0.0,0.7721,0,0,0,no_rock
NLA_400958694EDR_F0040468NCAM00422M1,MSL,navcam,,0.0,0.0,0.8284,0,0,0,no_rock
NLA_400958722EDR_F0040468NCAM00422M1,MSL,navcam,,0.0,0.0,0.8748,0,0,0,no_rock
NLA_400958750EDR_F0040468NCAM00422M1,MSL,navcam,,0.0,0.0,0.8621,0,0,0,no_rock
NLA_400967395EDR_F0040468NCAM00420M1,MSL,navcam,,0.0,0.0,0.7905,0,0,0,no_rock
NLA_400967424EDR_F0040468NCAM00420M1,MSL,navcam,,0.0,0.0,0.8114,0,0,0,no_rock
NLA_401051138EDR_F0040916NCAM00423M1,MSL,navcam,,0.0,0.0,0.4304,0,0,0,no_rock
NLA_401051166EDR_F0040916NCAM00423M1,MSL,navcam,,0.0,0.0,0.7117,0,0,0,no_rock
NLA_401051194EDR_F0040916NCAM00423M1,MSL,navcam,,0.0,0.0,0.8146,0,0,0,no_rock
NLA_401051222EDR_F0040916NCAM00423M1,MSL,navcam,,0.0,0.0,0.742,0,0,0,no_rock
NLA_401051257EDR_F0040916NCAM00423M1,MSL,navcam,,0.0,0.0,0.7482,0,0,0,no_rock
NLA_401051628EDR_F0040916NCAM00424M1,MSL,navcam,,0.0,0.0,0.7754,0,0,0,no_rock
NLA_401051663EDR_F0040916NCAM00424M1,MSL,navcam,,0.0,0.0,0.797,0,0,0,no_rock
NLA_401051698EDR_F0040916NCAM00424M1,MSL,navcam,,0.0,0.0,0.6869,0,0,0,no_rock
NLA_401051733EDR_F0040916NCAM00424M1,MSL,navcam,,0.0,0.0,0.3748,0,0,0,no_rock
NLA_401051813EDR_F0040916NCAM00424M1,MSL,navcam,,0.0,0.0,0.0903,0,0,0,no_rock
NLA_401051848EDR_F0040916NCAM00424M1,MSL,navcam,,0.0,0.0,0.2808,0,0,0,no_rock
NLA_401051883EDR_F0040916NCAM00424M1,MSL,navcam,,0.0,0.0,0.461,0,0,0,no_rock
NLA_401137937EDR_F0041238NCAM00425M1,MSL,navcam,,0.0,0.0,0.5589,0,0,0,no_rock
NLA_401137965EDR_F0041238NCAM00425M1,MSL,navcam,,0.0,0.0,0.6842,0,0,0,no_rock
NLA_401137993EDR_F0041238NCAM00425M1,MSL,navcam,,0.0,0.0,0.7047,0,0,0,no_rock
NLA_401138021EDR_F0041238NCAM00425M1,MSL,navcam,,0.0,0.0,0.7028,0,0,0,no_rock
NLA_401138049EDR_F0041238NCAM00425M1,MSL,navcam,,0.0,0.0,0.7343,0,0,0,no_rock
NLA_401225800EDR_F0041632NCAM00426M1,MSL,navcam,,0.0,0.0,0.906,0,0,0,no_rock
NLA_401225829EDR_F0041632NCAM00426M1,MSL,navcam,,0.0,0.0,0.8717,0,0,0,no_rock
NLA_401225856EDR_F0041632NCAM00426M1,MSL,navcam,,0.0,0.0,0.9254,0,0,0,no_rock
NLA_401225884EDR_F0041632NCAM00426M1,MSL,navcam,,0.0,0.0,0.8813,0,0,0,no_rock
NLA_401225927EDR_F0041632NCAM00426M1,MSL,navcam,,0.0,0.0,0.6248,0,0,0,no_rock
NLA_401232890EDR_F0041632NCAM00427M1,MSL,navcam,,0.0,0.0,0.471,0,0,0,no_rock
NLA_401232925EDR_F0041632NCAM00427M1,MSL,navcam,,0.0,0.0,0.6511,0,0,0,no_rock
NLA_401232953EDR_F0041632NCAM00427M1,MSL,navcam,,0.0,0.0,0.0356,0,0,0,mostly_null
NLA_401232988EDR_F0041632NCAM00427M1,MSL,navcam,,0.0,0.0,0.719,0,0,0,no_rock
NLA_401233023EDR_F0041632NCAM00427M1,MSL,navcam,,0.0,0.0,0.7751,0,0,0,no_rock
NLA_401233329EDR_F0041632NCAM00428M1,MSL,navcam,,0.0,0.0,0.6092,0,0,0,no_rock
NLA_401316636EDR_F0042002NCAM00429M1,MSL,navcam,,0.0,0.0,0.4824,0,0,0,no_rock
NLA_401316664EDR_F0042002NCAM00429M1,MSL,navcam,,3.5808,2.3532,0.6572,24675,1,1,ok
NLA_401316692EDR_F0042002NCAM00429M1,MSL,navcam,,3.7297,2.5293,0.6782,26522,1,1,ok
NLA_401316724EDR_F0042002NCAM00429M1,MSL,navcam,,0.0,0.0,0.7051,0,0,0,no_rock
NLA_401316753EDR_F0042002NCAM00429M1,MSL,navcam,,0.0,0.0,0.7143,0,0,0,no_rock
NLA_401316780EDR_F0042002NCAM00430M1,MSL,navcam,,0.0,0.0,0.7845,0,0,0,no_rock
NLA_401316808EDR_F0042002NCAM00430M1,MSL,navcam,,0.0,0.0,0.7931,0,0,0,no_rock
NLA_401316843EDR_F0042002NCAM00430M1,MSL,navcam,,0.0,0.0,0.7843,0,0,0,no_rock
NLA_401316878EDR_F0042002NCAM00430M1,MSL,navcam,,0.0,0.0,0.4513,0,0,0,no_rock
NLA_401316958EDR_F0042002NCAM00430M1,MSL,navcam,,0.0,0.0,0.1673,0,0,0,no_rock
NLA_401316993EDR_F0042002NCAM00430M1,MSL,navcam,,0.0,0.0,0.3828,0,0,0,no_rock
NLA_401317028EDR_F0042002NCAM00430M1,MSL,navcam,,0.0,0.0,0.5361,0,0,0,no_rock
NLA_401317063EDR_F0042002NCAM00431M1,MSL,navcam,,2.9763,2.5434,0.8545,26669,1,1,ok
NLA_401317091EDR_F0042002NCAM00431M1,MSL,navcam,,1.8007,1.517,0.8424,15907,1,1,ok
NLA_401317134EDR_F0042002NCAM00432M1,MSL,navcam,,0.0,0.0,0.9334,0,0,0,no_rock
NLA_401317162EDR_F0042002NCAM00432M1,MSL,navcam,,0.0,0.0,0.8572,0,0,0,no_rock
NLA_401317197EDR_F0042002NCAM00432M1,MSL,navcam,,0.0,0.0,0.6034,0,0,0,no_rock
NLA_401399597EDR_F0042002NCAM00200M1,MSL,navcam,,2.5907,2.0409,0.7878,21400,1,1,ok
NLA_401399955EDR_F0042002NCAM00201M1,MSL,navcam,,0.0,0.0,0.8707,0,0,0,no_rock
NLA_401400251EDR_F0042002NCAM00202M1,MSL,navcam,,0.0,0.0,0.845,0,0,0,no_rock
NLA_401400334EDR_F0042002NCAM00203M1,MSL,navcam,,2.153,1.9726,0.9162,20684,1,1,ok
NLA_401400705EDR_F0042002NCAM00203M1,MSL,navcam,,1.8096,1.659,0.9168,17396,1,1,ok
